"id","userPrincipalName","userDisplayName","userType","isAdmin","isSsprRegistered","isSsprEnabled","isSsprCapable","isMfaRegistered","isMfaCapable","isPasswordlessCapable","methodsRegistered","isSystemPreferredAuthenticationMethodEnabled","systemPreferredAuthenticationMethods","userPreferredMethodForSecondaryAuthentication","lastUpdatedDateTime","MfaPhoneNumbers","MfaPhoneTypes","MfaSmsSignInStates"
"8e595056-f4c1-4814-a661-7048112c1167","15857082@bonacu.onmicrosoft.com","15857082","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"b3c9fc45-2511-4877-86f4-8a19abefc2d3","15892936@bonacu.onmicrosoft.com","15892936","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"eb094509-768c-488f-98a4-68a9385fa50e","15915816@bonacu.onmicrosoft.com","15915816","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"80aab98c-b394-4554-9069-8976cbbd9090","15918069@bonacu.onmicrosoft.com","15918069","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"a54e7419-ad0b-468c-826d-3021141f92aa","15957218@bonacu.onmicrosoft.com","15957218","member","False","False","False","False","True","True","False","softwareOneTimePasscode","True","SoftwareOTP","oath","4/21/2025 4:29:55 AM","","",""
"03e2a18d-17bb-4994-a055-2f446ec56ee2","16140344@bonacu.onmicrosoft.com","16140344","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"8a9c5a5b-511c-4090-9316-c6760afa2e0f","16156874@bonacu.onmicrosoft.com","16156874","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"8aea9ba7-3c10-4f12-8ecb-eda64a3bf2ae","16159751@bonacu.onmicrosoft.com","16159751","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"bc7984ad-997a-4ceb-8517-ecdf3edc9b26","16179713@bonacu.onmicrosoft.com","16179713","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"a045295d-3693-4e69-90b1-aa318f9766a7","16186390@bonacu.onmicrosoft.com","16186390","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"995af848-75df-4e46-beb0-c8cf86ceccd5","16264871@bonacu.onmicrosoft.com","16264871","member","False","False","False","False","True","True","False","mobilePhone","True","Sms, Voice","sms","4/21/2025 4:29:55 AM","+1 3106541317","mobile","notAllowedByPolicy"
"8d6b6eeb-05ea-4ddc-8559-de73d9f59fb5","16284182@bonacu.onmicrosoft.com","16284182","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
"b7f2389b-5b70-4605-8d1b-064c4a818241","16284692@bonacu.onmicrosoft.com","16284692","member","False","False","False","False","False","False","False","","True","","none","4/21/2025 4:29:55 AM","","",""
"00772272-6c46-4da5-8001-721cc0df4715","16284698@bonacu.onmicrosoft.com","16284698","member","False","False","False","False","True","True","False","microsoftAuthenticatorPush, softwareOneTimePasscode","True","PhoneAppNotification","push","4/21/2025 4:29:55 AM","","",""
