"Activity","ActivityDateTime","AdditionalInfo","CorrelationId","DetectedDateTime","IPAddress","Id","LastUpdatedDateTime","City","CountryOrRegion","State","RequestId","RiskDetail","RiskEventType","RiskLevel","RiskState","DetectionTimingType","Source","TokenIssuerType","UserDisplayName","UserId","UserPrincipalName","AdditionalProperties"
"signin","1/26/2025 8:20:44 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-01-26T20:03:50.268201Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""62.74.24.201"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""GR"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""667ec883-02ae-4eed-a49b-fbc911382b00""},{""Key"":""correlationId"",""Value"":""31db5544-50d6-4feb-a609-848ed78c276a""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","31db5544-50d6-4feb-a609-848ed78c276a","1/27/2025 1:33:44 AM","172.205.146.219","7ab12e5b2e42054a71963c6370ac289e1e41e900783c284718d30afb84bb158d","1/27/2025 1:53:53 AM","Amsterdam","NL","Noord-Holland","667ec883-02ae-4eed-a49b-fbc911382b00","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","18294604","b102db55-6825-467d-9386-3ba2422950b0","18294604@bonacu.onmicrosoft.com",""
"signin","1/27/2025 9:59:58 AM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","fd61e937-d87f-4937-8188-00fdf249aa71","1/27/2025 9:59:58 AM","94.127.55.204","4f9b7f7940264ce41b8102bc54d7e6710992a16cf9c9391d7d146cca06be2708","1/27/2025 10:02:10 AM","Kobenhavn","DK","Hovedstaden","de4fe081-5ca4-404e-8e3b-9bdc0cd15f00","userPassedMFADrivenByRiskBasedPolicy","unfamiliarFeatures","low","remediated","realtime","IdentityProtection","AzureAD","Korstiaan","c7855e7c-897e-4ced-b66f-f8b981641bf3","Korstiaan@bonacu.onmicrosoft.com",""
"signin","1/30/2025 7:47:59 AM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","560bc687-435d-4153-aaca-5d9337aeb1b7","1/30/2025 7:47:59 AM","130.41.90.18","b1f1f6ae6c80f773799264725327dbc7efcdfdfe0a0c0e5672b012f83699fb9e","1/30/2025 7:50:13 AM","Singapore","SG","Central Singapore","f41ebb02-79d8-4a78-a533-6440e88fba00","userPassedMFADrivenByRiskBasedPolicy","unfamiliarFeatures","low","remediated","realtime","IdentityProtection","AzureAD","17627063","4bafa424-f9db-49c0-9b30-867f1ec7dfda","17627063@bonacu.onmicrosoft.com",""
"user","1/30/2025 7:47:59 AM","[{""Key"":""riskReasons"",""Value"":[""NotSet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0""},{""Key"":""alertUrl"",""Value"":""""},{""Key"":""mitreTechniques"",""Value"":""T1078,T1539""}]","560bc687-435d-4153-aaca-5d9337aeb1b7","1/30/2025 8:25:32 PM","130.41.90.18","fa49e4032ec2f8617936901e51029bd66c0ef6c2886afa343aa1b9e71e4969b7","1/30/2025 8:25:32 PM","Singapore","SG","Central Singapore","f41ebb02-79d8-4a78-a533-6440e88fba00","none","anomalousToken","medium","atRisk","offline","IdentityProtection","AzureAD","17627063","4bafa424-f9db-49c0-9b30-867f1ec7dfda","17627063@bonacu.onmicrosoft.com",""
"signin","2/2/2025 6:28:31 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-02-02T18:18:15.396205Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""2a02:8070:e182:1ea0:8516:99c0:8d80:1147"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""DE"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""9dbca367-70b9-4878-a9a2-5e63ac9a1800""},{""Key"":""correlationId"",""Value"":""945b48c6-886f-4649-adda-3c5d9b2199bf""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","945b48c6-886f-4649-adda-3c5d9b2199bf","2/2/2025 11:35:05 PM","172.205.146.219","4db72cae5e8de0f276d3ab46aebbae7707dae62c866a5f7be5f170cabd68e0da","2/3/2025 12:14:45 AM","Amsterdam","NL","Noord-Holland","9dbca367-70b9-4878-a9a2-5e63ac9a1800","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","18056018","fa1ae5ea-bc6f-468e-92ce-f301a2eee2ae","18056018@bonacu.onmicrosoft.com",""
"signin","2/8/2025 3:03:09 PM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","ec30527f-422c-4206-9428-7e58257509a6","2/8/2025 3:03:09 PM","172.205.146.219","59b99b2afe012b1980bd871fd1f51e32fff65c970dc7fbbd1ee705b06a85fe5f","2/8/2025 8:03:42 PM","Amsterdam","NL","Noord-Holland","a79d8d82-2242-4df5-8b51-28894ba36c00","none","unfamiliarFeatures","medium","atRisk","realtime","IdentityProtection","AzureAD","17717070","bfa7b985-aba6-465c-8999-09ab8552c400","17717070@bonacu.onmicrosoft.com",""
"signin","2/9/2025 1:32:02 PM","[{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""relatedEventTimeInUtc"",""Value"":""2025-02-09T13:30:48.768441Z""},{""Key"":""relatedUserAgent"",""Value"":""""},{""Key"":""deviceInformation"",""Value"":""""},{""Key"":""relatedLocation"",""Value"":{""clientIP"":""2a02:1210:720f:c00:bcda:5e76:b291:b957"",""latitude"":null,""longitude"":null,""asn"":null,""countryCode"":""CH"",""countryName"":null,""state"":null,""city"":null}},{""Key"":""requestId"",""Value"":""5586dee4-29d3-4fb1-a739-d76405e37f00""},{""Key"":""correlationId"",""Value"":""80b4b0f0-dd0b-406b-bb90-9e90e61bd020""},{""Key"":""mitreTechniques"",""Value"":""T1078""}]","80b4b0f0-dd0b-406b-bb90-9e90e61bd020","2/9/2025 6:30:13 PM","172.205.146.219","33402342f0d91c2b8f4802f25e30c407102bc69fdfef4276721a036536ca7a9b","2/9/2025 7:20:02 PM","Amsterdam","NL","Noord-Holland","5586dee4-29d3-4fb1-a739-d76405e37f00","none","unlikelyTravel","low","atRisk","offline","IdentityProtection","AzureAD","15572568","48ea86e4-3861-432a-a2d8-feb0a41c8a17","15572568@bonacu.onmicrosoft.com",""
"signin","2/17/2025 2:48:07 AM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36 Edg/133.0.0.0 OS/10.0.26100""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","cc8e44bd-18ea-4bc2-8f28-dcd686847aec","2/17/2025 2:48:07 AM","163.116.202.28","0014dcdb57100e6bacf6b4c29bd46c44be536f65327bc1f31b7c78df0450ee75","2/17/2025 2:50:29 AM","Perth","AU","Western Australia","fa080f8e-bf75-4636-a9cb-169eea7f0700","aiConfirmedSigninSafe","unfamiliarFeatures","low","dismissed","realtime","IdentityProtection","AzureAD","16737255","f4121d9b-b0c5-40f8-9c03-fc4dcece9bf3","16737255@bonacu.onmicrosoft.com",""
"signin","2/19/2025 1:46:23 AM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","7a56292c-7919-46ed-b531-eebc2a6d3ad3","2/19/2025 1:44:10 AM","120.149.0.102","f2e09f956e537284a11d172f30fe0c51c0144601d3d3b86092a1f6e5b2f7a1e4","2/19/2025 1:48:02 AM","Dayton","AU","Western Australia","b07adc80-8c9d-4056-af1f-0ffb1cb94400","userPassedMFADrivenByRiskBasedPolicy","unfamiliarFeatures","low","remediated","realtime","IdentityProtection","AzureAD","16737255","f4121d9b-b0c5-40f8-9c03-fc4dcece9bf3","16737255@bonacu.onmicrosoft.com",""
"signin","2/19/2025 1:53:03 PM","[{""Key"":""riskReasons"",""Value"":[""UnfamiliarASN"",""UnfamiliarBrowser"",""UnfamiliarDevice"",""UnfamiliarIP"",""UnfamiliarLocation"",""UnfamiliarEASId"",""UnfamiliarTenantIPsubnet""]},{""Key"":""userAgent"",""Value"":""Windows-AzureAD-Authentication-Provider/1.0""},{""Key"":""alertUrl"",""Value"":null},{""Key"":""mitreTechniques"",""Value"":""T1078.004""}]","35edba27-b824-4642-979b-a67655cf8f9f","2/19/2025 1:53:03 PM","172.205.146.219","c1be962bb59a34f86660ab1e5d384eb7459fae9c487f1834df7ebb72a003a8a4","2/19/2025 8:39:30 PM","Amsterdam","NL","Noord-Holland","a5ac173b-48d5-4f36-b4c7-f447746f2a00","none","unfamiliarFeatures","medium","atRisk","realtime","IdentityProtection","AzureAD","17115268","042b4d0f-3663-4803-bd0d-cf848df68ec9","17115268@bonacu.onmicrosoft.com",""
