"RoleName","UserPrincipalName","DisplayName","AssignmentType","SourceType","SourceName","OnPremisesSynced","AssignmentStatus","StartDateTime","EndDateTime","DirectoryScopeId"
"Global Administrator","davism@bonacu.onmicrosoft.com","Mary Davis","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Administrator","charles.taylor@bonacu.onmicrosoft.com","Charles Taylor","PIM Active","Direct","N/A","False","Active",,,"/"
"Exchange Administrator","jthomas@bonacu.onmicrosoft.com","James Thomas","PIM Active","Direct","N/A","False","Active",,,"/"
"Application Administrator","jthomas@bonacu.onmicrosoft.com","James Thomas","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Reader","curt@bonacu.onmicrosoft.com","curt","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Reader","testuserjoey@bonacu.onmicrosoft.com","testuserjoey","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Administrator","FortunaHodan@bonacu.onmicrosoft.com","Administrator","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Administrator","Korstiaan@bonacu.onmicrosoft.com","Korstiaan","PIM Active","Direct","N/A","False","Active",,,"/"
"Security Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active",,,"/"
"Cloud Application Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Active","Direct","N/A","False","Active",,,"/"
"User Administrator","user-creation@bonacu.onmicrosoft.com","user-creation","PIM Active","Direct","N/A","False","Active",,,"/"
"Global Administrator","garciad@bonacu.onmicrosoft.com","David Garcia","PIM Eligible","Direct","N/A","False","Eligible",,,"/"
"Guest Inviter","alina_fern@bonacu.onmicrosoft.com","alina_fern","PIM Eligible","Direct","N/A","False","Eligible",,,"/"
"Application Administrator","Joey@bonacu.onmicrosoft.com","Joey","PIM Eligible","Direct","N/A","False","Eligible",,,"/"
"Application Developer","devtech.drew@bonacu.onmicrosoft.com","devtech.drew","PIM Eligible","Direct","N/A","False","Eligible",,,"/"
"Cloud Application Administrator","FortunaHodan@bonacu.onmicrosoft.com","Administrator","PIM Eligible","Direct","N/A","False","Eligible",,,"/3f54ebab-2bd1-488c-87dd-d6f00256dca3"
